"","transmission","dispersal","nExtantDis","nPathogens","meanK","maxDistance","nEvents","colonySize","colonyNumber","pop","area","dens"
"283","0.1","0.01","1","2","10.8","100","1e+06","400","20","8000","4e+04","0.2"
"284","0.2","0.01","1","2","7.1","100","1e+06","400","20","8000","4e+04","0.2"
"285","0.3","0.01","2","2","7.7","100","1e+06","400","20","8000","4e+04","0.2"
"286","0.1","0.01","1","2","8.1","100","1e+06","400","20","8000","4e+04","0.2"
"287","0.2","0.01","1","2","9.4","100","1e+06","400","20","8000","4e+04","0.2"
"288","0.3","0.01","1","2","8.6","100","1e+06","400","20","8000","4e+04","0.2"
"289","0.1","0.01","1","2","11.7","100","1e+06","400","20","8000","4e+04","0.2"
"290","0.2","0.01","1","2","10.3","100","1e+06","400","20","8000","4e+04","0.2"
"291","0.3","0.01","1","2","10.5","100","1e+06","400","20","8000","4e+04","0.2"
"292","0.1","0.01","1","2","10.6","100","1e+06","400","20","8000","4e+04","0.2"
"293","0.2","0.01","1","2","11.1","100","1e+06","400","20","8000","4e+04","0.2"
"294","0.3","0.01","1","2","8.6","100","1e+06","400","20","8000","4e+04","0.2"
"295","0.1","0.01","1","2","9.5","100","1e+06","400","20","8000","4e+04","0.2"
"296","0.2","0.01","1","2","8.3","100","1e+06","400","20","8000","4e+04","0.2"
"297","0.3","0.01","1","2","6.6","100","1e+06","400","20","8000","4e+04","0.2"
"298","0.1","0.01","2","2","6.6","100","1e+06","400","20","8000","4e+04","0.2"
"299","0.2","0.01","1","2","10.2","100","1e+06","400","20","8000","4e+04","0.2"
"300","0.3","0.01","1","2","8.4","100","1e+06","400","20","8000","4e+04","0.2"
"301","0.1","0.01","1","2","14.2","100","1e+06","400","20","8000","2e+04","0.4"
"302","0.2","0.01","1","2","14.8","100","1e+06","400","20","8000","2e+04","0.4"
"303","0.3","0.01","1","2","13.6","100","1e+06","400","20","8000","2e+04","0.4"
"304","0.1","0.01","1","2","13.1","100","1e+06","400","20","8000","2e+04","0.4"
"305","0.2","0.01","1","2","15.7","100","1e+06","400","20","8000","2e+04","0.4"
"306","0.3","0.01","1","2","13.1","100","1e+06","400","20","8000","2e+04","0.4"
"307","0.1","0.01","1","2","15.7","100","1e+06","400","20","8000","2e+04","0.4"
"308","0.2","0.01","2","2","13.4","100","1e+06","400","20","8000","2e+04","0.4"
"309","0.3","0.01","1","2","11.8","100","1e+06","400","20","8000","2e+04","0.4"
"310","0.1","0.01","1","2","13.9","100","1e+06","400","20","8000","2e+04","0.4"
"311","0.2","0.01","1","2","13.4","100","1e+06","400","20","8000","2e+04","0.4"
"312","0.3","0.01","1","2","13.1","100","1e+06","400","20","8000","2e+04","0.4"
"313","0.1","0.01","1","2","15.8","100","1e+06","400","20","8000","2e+04","0.4"
"314","0.2","0.01","1","2","12.4","100","1e+06","400","20","8000","2e+04","0.4"
"315","0.3","0.01","1","2","16","100","1e+06","400","20","8000","2e+04","0.4"
"316","0.1","0.01","1","2","15.9","100","1e+06","400","20","8000","2e+04","0.4"
"317","0.2","0.01","1","2","15.4","100","1e+06","400","20","8000","2e+04","0.4"
"318","0.3","0.01","1","2","16.8","100","1e+06","400","20","8000","2e+04","0.4"
