"","log.scholarRefs.","log.Nm.","log.mass.","log.distrSize.","rand","AIC","boot","lambda","attempt","predictors","dAIC","weight"
"135",TRUE,TRUE,FALSE,FALSE,FALSE,138.587892573984,5,0.137566157415679,1,"log(scholarRefs) + log(Nm)",84.6753624857966,3.23461734370158e-19
"136",TRUE,FALSE,TRUE,FALSE,FALSE,102.607616488755,5,-3.38553024980044,1,"log(scholarRefs) + log(mass)",48.6950864005681,2.10300638589828e-11
"137",TRUE,FALSE,FALSE,TRUE,FALSE,137.856107782131,5,0.224305643016117,1,"log(scholarRefs) + log(distrSize)",83.9435776939446,4.66367157966969e-19
"138",TRUE,FALSE,FALSE,FALSE,TRUE,138.491116852926,5,0.143058417647825,1,"log(scholarRefs) + rand",84.5785867647387,3.39498212244672e-19
"139",FALSE,TRUE,TRUE,FALSE,FALSE,148.647399615083,5,NA,5,"log(Nm) + log(mass)",94.7348695268958,2.11557638971603e-21
"140",FALSE,TRUE,FALSE,TRUE,FALSE,143.410194257492,5,0.0763829747693659,1,"log(Nm) + log(distrSize)",89.4976641693047,2.90183961494926e-20
"141",FALSE,TRUE,FALSE,FALSE,TRUE,122.177368478722,5,-0.221352153220671,1,"log(Nm) + rand",68.264838390535,1.18392159079084e-15
"142",FALSE,FALSE,TRUE,TRUE,FALSE,119.051741559007,5,-3.7713455597814,1,"log(mass) + log(distrSize)",65.1392114708199,5.64994477137218e-15
"143",FALSE,FALSE,TRUE,FALSE,TRUE,138.261550223678,5,-0.985847218896962,4,"log(mass) + rand",84.3490201354907,3.80791505529694e-19
"144",FALSE,FALSE,FALSE,TRUE,TRUE,144.692906591941,5,0.0807491462674243,1,"log(distrSize) + rand",90.7803765037542,1.52804435526117e-20
"145",TRUE,TRUE,TRUE,FALSE,FALSE,76.8758724629269,5,-6.71175582948554,2,"log(scholarRefs) + log(Nm) + log(mass)",22.96334237474,8.13612873271161e-06
"146",TRUE,TRUE,FALSE,TRUE,FALSE,140.608690900784,5,0.206626627541732,1,"log(scholarRefs) + log(Nm) + log(distrSize)",86.6961608125967,1.17763886406444e-19
"147",TRUE,TRUE,FALSE,FALSE,TRUE,141.28494571459,5,0.131996905674978,1,"log(scholarRefs) + log(Nm) + rand",87.3724156264033,8.39779488176435e-20
"148",TRUE,FALSE,TRUE,TRUE,FALSE,85.6764751770408,5,-5.12141415020007,1,"log(scholarRefs) + log(mass) + log(distrSize)",31.7639450888539,9.98599199201493e-08
"149",TRUE,FALSE,TRUE,FALSE,TRUE,56.5453495404093,5,-11.0776243838422,4,"log(scholarRefs) + log(mass) + rand",2.6328194522224,0.2114145004373
"150",TRUE,FALSE,FALSE,TRUE,TRUE,140.632829995189,5,0.218517821619825,1,"log(scholarRefs) + log(distrSize) + rand",86.7202999070022,1.16351072781854e-19
"151",FALSE,TRUE,TRUE,TRUE,FALSE,115.739742810343,5,-4.13967574993174,1,"log(Nm) + log(mass) + log(distrSize)",61.8272127221564,2.95961754278704e-14
"152",FALSE,TRUE,TRUE,FALSE,TRUE,141.029475765352,5,-1.00445021149597,1,"log(Nm) + log(mass) + rand",87.1169456771649,9.54200977899055e-20
"153",FALSE,TRUE,FALSE,TRUE,TRUE,146.218049637745,5,0.0777243247729214,1,"log(Nm) + log(distrSize) + rand",92.3055195495582,7.12779755740239e-21
"154",FALSE,FALSE,TRUE,TRUE,TRUE,110.183740011732,5,-5.26969849547597,1,"log(mass) + log(distrSize) + rand",56.2712099235446,4.76108868668387e-13
"155",TRUE,TRUE,TRUE,TRUE,FALSE,141.05898866598,5,NA,5,"log(scholarRefs) + log(Nm) + log(mass) + log(distrSize)",87.1464585777932,9.4022373942255e-20
"156",TRUE,TRUE,TRUE,FALSE,TRUE,53.9125300881869,5,-10.1030585160331,2,"log(scholarRefs) + log(Nm) + log(mass) + rand",0,0.788577263546706
"157",TRUE,TRUE,FALSE,TRUE,TRUE,143.67324738792,5,0.202753401926918,1,"log(scholarRefs) + log(Nm) + log(distrSize) + rand",89.7607172997332,2.54420524590621e-20
"158",TRUE,FALSE,TRUE,TRUE,TRUE,141.150730945693,5,NA,5,"log(scholarRefs) + log(mass) + log(distrSize) + rand",87.2382008575063,8.98068842820416e-20
"159",FALSE,TRUE,TRUE,TRUE,TRUE,105.186790060666,5,-6.58717763932835,4,"log(Nm) + log(mass) + log(distrSize) + rand",51.2742599724786,5.79135472164185e-12
"160",TRUE,TRUE,TRUE,TRUE,TRUE,144.478930769815,5,NA,5,"log(scholarRefs) + log(Nm) + log(mass) + log(distrSize) + rand",90.5664006816277,1.70059234685636e-20
"161",FALSE,FALSE,FALSE,FALSE,FALSE,118.431463660977,6,-0.221352153220703,2,"1",66.1351735558086,4.29653962428214e-15
"162",TRUE,FALSE,FALSE,FALSE,FALSE,136.044595357054,6,0.150804971873433,1,"log(scholarRefs)",83.7483052518859,6.43392314829317e-19
