"","binomial","virusSpecies","NumberOfSubspecies","Genus","Family","familyPlotCol","mass","distrSize","pubmedRefs","scholarRefs","SubspeciesFactor"
"Rhinolophus eloquens","Rhinolophus eloquens",2,2,"Rhinolophus","Rhinolophidae","Rhinolophidae",19.15,711920479241.944,0,59,"2"
"Rhinolophus euryale","Rhinolophus euryale",2,2,"Rhinolophus","Rhinolophidae","Rhinolophidae",9.25,2989980221113.34,3,1300,"2"
"Rhinolophus ferrumequinum","Rhinolophus ferrumequinum",9,7,"Rhinolophus","Rhinolophidae","Rhinolophidae",22.59,9747141436926.92,85,5070,"7"
"Rhinolophus hildebrandtii","Rhinolophus hildebrandtii",1,1,"Rhinolophus","Rhinolophidae","Rhinolophidae",25.99,3184501187709.87,2,106,"1"
"Rhinolophus hipposideros","Rhinolophus hipposideros",1,6,"Rhinolophus","Rhinolophidae","Rhinolophidae",4.57,6256453726833.12,19,3450,"6"
"Rhinolophus lepidus","Rhinolophus lepidus",1,5,"Rhinolophus","Rhinolophidae","Rhinolophidae",5.46,3509104566115.26,2,203,"5"
"Rhinolophus macrotis","Rhinolophus macrotis",3,6,"Rhinolophus","Rhinolophidae","Rhinolophidae",6.18,2338402388383.22,3,202,"6"
"Rhinolophus mehelyi","Rhinolophus mehelyi",1,2,"Rhinolophus","Rhinolophidae","Rhinolophidae",14.03,1978080249981.77,5,747,"2"
"Rhinolophus pearsonii","Rhinolophus pearsonii",3,2,"Rhinolophus","Rhinolophidae","Rhinolophidae",11.55,3176330249668.15,0,83,"2"
"Rhinolophus pusillus","Rhinolophus pusillus",3,9,"Rhinolophus","Rhinolophidae","Rhinolophidae",5.15,3970820376353.96,9,259,"9"
"Rhinolophus rouxii","Rhinolophus rouxii",3,2,"Rhinolophus","Rhinolophidae","Rhinolophidae",12.25,864096202068.755,0,159,"2"
"Rhinolophus sinicus","Rhinolophus sinicus",3,2,"Rhinolophus","Rhinolophidae","Rhinolophidae",11.4,2168997105326.95,15,256,"2"
"Rhogeessa parvula","Rhogeessa parvula",1,1,"Rhogeessa","Vespertilionidae","Vespertilionidae",4.37,448909734076.379,0,147,"1"
"Rhynchonycteris naso","Rhynchonycteris naso",1,1,"Rhynchonycteris","Emballonuridae","Other",4.14,11508828072950.2,2,607,"1"
"Rousettus aegyptiacus","Rousettus aegyptiacus",8,6,"Rousettus","Pteropodidae","Pteropodidae",134,3888094351141.78,121,2680,"6"
"Rousettus amplexicaudatus","Rousettus amplexicaudatus",1,5,"Rousettus","Pteropodidae","Pteropodidae",74.37,4281498885958.95,3,436,"5"
"Rousettus leschenaultii","Rousettus leschenaultii",11,3,"Rousettus","Pteropodidae","Pteropodidae",84.88,6764789855016.88,0,848,"3"
"Rousettus madagascariensis","Rousettus madagascariensis",1,1,"Rousettus","Pteropodidae","Pteropodidae",65.72,292740754640.015,2,135,"1"
"Saccolaimus flaviventris","Saccolaimus flaviventris",1,1,"Saccolaimus","Emballonuridae","Other",45.25,6053678138693.44,3,342,"1"
"Scotophilus kuhlii","Scotophilus kuhlii",7,7,"Scotophilus","Vespertilionidae","Vespertilionidae",20.31,5226237736568.88,5,377,"7"
"Scotophilus nigrita","Scotophilus nigrita",2,2,"Scotophilus","Vespertilionidae","Vespertilionidae",27.34,2195994823962.77,0,142,"2"
"Sturnira lilium","Sturnira lilium",7,8,"Sturnira","Phyllostomidae","Phyllostomidae",20.19,15289330248348,36,2440,"8"
"Sturnira ludovici","Sturnira ludovici",1,3,"Sturnira","Phyllostomidae","Phyllostomidae",21,2234368898699.7,2,493,"3"
"Syconycteris australis","Syconycteris australis",1,7,"Syconycteris","Pteropodidae","Pteropodidae",17.6,1053996418214.33,4,618,"7"
"Tadarida brasiliensis","Tadarida brasiliensis",5,9,"Tadarida","Molossidae","Molossidae",12.61,13833395317003.4,131,5400,"9"
"Tadarida teniotis","Tadarida teniotis",1,2,"Tadarida","Molossidae","Molossidae",28.07,3743229866983.7,7,1160,"2"
"Taphozous melanopogon","Taphozous melanopogon",4,5,"Taphozous","Emballonuridae","Other",25.99,5624365517584.87,15,503,"5"
"Taphozous perforatus","Taphozous perforatus",2,4,"Taphozous","Emballonuridae","Other",24.43,2114920099615.37,5,264,"4"
"Tonatia bidens","Tonatia bidens",1,1,"Tonatia","Phyllostomidae","Phyllostomidae",27.7,3599567983181.73,0,508,"1"
"Trachops cirrhosus","Trachops cirrhosus",1,3,"Trachops","Phyllostomidae","Phyllostomidae",36.9,12642871514908,16,1230,"3"
"Tylonycteris pachypus","Tylonycteris pachypus",2,5,"Tylonycteris","Vespertilionidae","Vespertilionidae",4.1,4170176213547.65,8,428,"5"
