"","transmission","dispersal","nExtantDis","singleInf","doubleInf","nColonies","nPathogens","meanK","maxDistance","nEvents"
"233",0.1,1e-03,1,138.2,0,10,2,9,100,8e+05
"234",0.2,1e-03,1,140.033333333333,0,10,2,9,100,8e+05
"235",0.4,1e-03,2,105.533333333333,10.2666666666667,10,2,9,100,8e+05
"236",0.6,1e-03,2,96.8,13.5666666666667,10,2,9,100,8e+05
"237",0.1,1e-03,1,136.833333333333,0,10,2,9,100,8e+05
"238",0.2,1e-03,2,143.9,0.333333333333333,10,2,9,100,8e+05
"239",0.4,1e-03,2,66.8,16.5333333333333,10,2,9,100,8e+05
"240",0.6,1e-03,2,97.6,12.4,10,2,9,100,8e+05
"241",0.1,1e-03,1,141.3,0,10,2,9,100,8e+05
"242",0.2,1e-03,2,130.133333333333,3.83333333333333,10,2,9,100,8e+05
"243",0.4,1e-03,2,112.666666666667,9.7,10,2,9,100,8e+05
"244",0.6,1e-03,2,48.7333333333333,21.4,10,2,9,100,8e+05
"245",0.1,1e-03,1,142.233333333333,0,10,2,9,100,8e+05
"246",0.2,1e-03,2,129.5,2.5,10,2,9,100,8e+05
"247",0.4,1e-03,2,131.166666666667,3.06666666666667,10,2,9,100,8e+05
"248",0.6,1e-03,2,50.3666666666667,21.9666666666667,10,2,9,100,8e+05
"249",0.1,1e-03,1,145.1,0,10,2,9,100,8e+05
"250",0.2,1e-03,2,147.5,0.3,10,2,9,100,8e+05
"251",0.4,1e-03,2,113.833333333333,6.83333333333333,10,2,9,100,8e+05
"252",0.6,1e-03,2,105.633333333333,12.3,10,2,9,100,8e+05
"253",0.1,1e-03,1,137.766666666667,0,10,2,9,100,8e+05
"254",0.2,1e-03,1,146.433333333333,0,10,2,9,100,8e+05
"255",0.4,1e-03,2,123.7,4.96666666666667,10,2,9,100,8e+05
"256",0.6,1e-03,2,94.3,13.0333333333333,10,2,9,100,8e+05
"257",0.1,1e-03,1,142.133333333333,0,10,2,9,100,8e+05
"258",0.2,1e-03,1,141.966666666667,0,10,2,9,100,8e+05
"259",0.4,1e-03,2,99.4666666666667,11.1,10,2,9,100,8e+05
"260",0.6,1e-03,2,97.8,12.6333333333333,10,2,9,100,8e+05
"261",0.1,1e-03,1,142.566666666667,0,10,2,9,100,8e+05
"262",0.2,1e-03,1,138.433333333333,0,10,2,9,100,8e+05
"263",0.4,1e-03,2,116.066666666667,8.33333333333333,10,2,9,100,8e+05
"264",0.6,1e-03,2,92.4333333333333,11.6666666666667,10,2,9,100,8e+05
"265",0.1,1e-03,1,141,0,10,2,9,100,8e+05
"266",0.2,1e-03,1,137.1,0,10,2,9,100,8e+05
"267",0.4,1e-03,2,136.033333333333,3,10,2,9,100,8e+05
"268",0.6,1e-03,2,59.3333333333333,22.0333333333333,10,2,9,100,8e+05
"269",0.1,1e-03,1,140.5,0,10,2,9,100,8e+05
"270",0.2,1e-03,1,132.266666666667,0,10,2,9,100,8e+05
"271",0.4,1e-03,2,123.766666666667,3.3,10,2,9,100,8e+05
"272",0.6,1e-03,2,90.3333333333333,11.6,10,2,9,100,8e+05
"273",0.1,1e-03,1,143.033333333333,0,10,2,9,100,8e+05
"274",0.2,1e-03,2,137.266666666667,1.6,10,2,9,100,8e+05
"275",0.4,1e-03,2,108.9,9.6,10,2,9,100,8e+05
"276",0.6,1e-03,2,97.1333333333333,12.1333333333333,10,2,9,100,8e+05
"277",0.1,1e-03,2,139.4,0,10,2,9,100,8e+05
"278",0.2,1e-03,2,133.8,1.93333333333333,10,2,9,100,8e+05
"279",0.4,1e-03,2,68.8666666666667,20.0333333333333,10,2,9,100,8e+05
"280",0.6,1e-03,2,100.633333333333,12.8,10,2,9,100,8e+05
"281",0.1,1e-03,1,137.433333333333,0,10,2,9,100,8e+05
"282",0.2,1e-03,1,140.7,0,10,2,9,100,8e+05
"283",0.4,1e-03,2,126.733333333333,2.93333333333333,10,2,9,100,8e+05
"284",0.6,1e-03,2,77,14.3666666666667,10,2,9,100,8e+05
"285",0.1,1e-03,1,148.7,0,10,2,9,100,8e+05
"286",0.2,1e-03,1,139.7,0,10,2,9,100,8e+05
"287",0.4,1e-03,2,84.0666666666667,16.4333333333333,10,2,9,100,8e+05
"288",0.6,1e-03,2,90.4,14.3333333333333,10,2,9,100,8e+05
"289",0.1,1e-03,1,148.466666666667,0,10,2,9,100,8e+05
"290",0.2,1e-03,2,139.233333333333,1.7,10,2,9,100,8e+05
"291",0.4,1e-03,2,78.4666666666667,16.3,10,2,9,100,8e+05
"292",0.6,1e-03,2,106.1,12.1,10,2,9,100,8e+05
"293",0.1,1e-03,1,142.766666666667,0,10,2,9,100,8e+05
"294",0.2,1e-03,1,138.8,0,10,2,9,100,8e+05
"295",0.4,1e-03,2,112,6.76666666666667,10,2,9,100,8e+05
"296",0.6,1e-03,2,51.4666666666667,23.7333333333333,10,2,9,100,8e+05
"297",0.1,1e-03,1,146.033333333333,0,10,2,9,100,8e+05
"298",0.2,1e-03,1,137.5,0,10,2,9,100,8e+05
"299",0.4,1e-03,2,73.5,16.0333333333333,10,2,9,100,8e+05
"300",0.6,1e-03,2,92.0333333333333,14.0333333333333,10,2,9,100,8e+05
"301",0.1,1e-03,1,143.6,0,10,2,9,100,8e+05
"302",0.2,1e-03,2,144.466666666667,0,10,2,9,100,8e+05
"303",0.4,1e-03,2,104.4,7.66666666666667,10,2,9,100,8e+05
"304",0.6,1e-03,2,114.166666666667,10.8333333333333,10,2,9,100,8e+05
"305",0.1,1e-03,1,135.133333333333,0,10,2,9,100,8e+05
"306",0.2,1e-03,1,148.7,0,10,2,9,100,8e+05
"307",0.4,1e-03,2,113.033333333333,7.96666666666667,10,2,9,100,8e+05
"308",0.6,1e-03,2,115.733333333333,4.46666666666667,10,2,9,100,8e+05
"309",0.1,1e-03,1,136.766666666667,0,10,2,9,100,8e+05
"310",0.2,1e-03,2,131.133333333333,2.86666666666667,10,2,9,100,8e+05
"311",0.4,1e-03,2,76.9,16.8,10,2,9,100,8e+05
"312",0.6,1e-03,2,134.766666666667,2.96666666666667,10,2,9,100,8e+05
"313",0.1,1e-03,1,135.633333333333,0,10,2,9,100,8e+05
"314",0.2,1e-03,1,147.6,0,10,2,9,100,8e+05
"315",0.4,1e-03,2,100.5,9.96666666666667,10,2,9,100,8e+05
"316",0.6,1e-03,2,89.8,15.2,10,2,9,100,8e+05
"317",0.1,1e-03,1,139.3,0,10,2,9,100,8e+05
"318",0.2,1e-03,1,147.433333333333,0,10,2,9,100,8e+05
"319",0.4,1e-03,2,116,6.3,10,2,9,100,8e+05
"320",0.6,1e-03,2,82.4666666666667,16.6666666666667,10,2,9,100,8e+05
"321",0.1,1e-03,1,141.1,0,10,2,9,100,8e+05
"322",0.2,1e-03,2,128.2,4.8,10,2,9,100,8e+05
"323",0.4,1e-03,2,104.9,7.86666666666667,10,2,9,100,8e+05
"324",0.6,1e-03,2,76.4,18.2333333333333,10,2,9,100,8e+05
"325",0.1,1e-03,1,144.266666666667,0,10,2,9,100,8e+05
"326",0.2,1e-03,1,138.566666666667,0,10,2,9,100,8e+05
"327",0.4,1e-03,2,103.666666666667,8.96666666666667,10,2,9,100,8e+05
"328",0.6,1e-03,2,72.8,17.7,10,2,9,100,8e+05
"329",0.1,1e-03,1,142.266666666667,0,10,2,9,100,8e+05
"330",0.2,1e-03,2,139.033333333333,2.43333333333333,10,2,9,100,8e+05
"331",0.4,1e-03,2,99.5333333333333,9.63333333333333,10,2,9,100,8e+05
"332",0.6,1e-03,2,74.9,19.4333333333333,10,2,9,100,8e+05
"333",0.1,1e-03,1,135.133333333333,0,10,2,9,100,8e+05
"334",0.2,1e-03,2,145.666666666667,0,10,2,9,100,8e+05
"335",0.4,1e-03,2,74.3,16.0666666666667,10,2,9,100,8e+05
"336",0.6,1e-03,2,137.833333333333,2.56666666666667,10,2,9,100,8e+05
"337",0.1,1e-03,1,146.566666666667,0,10,2,9,100,8e+05
"338",0.2,1e-03,2,130.8,1.03333333333333,10,2,9,100,8e+05
"339",0.4,1e-03,1,143.366666666667,0,10,2,9,100,8e+05
"340",0.6,1e-03,2,122.266666666667,6.96666666666667,10,2,9,100,8e+05
"341",0.1,1e-03,1,145.066666666667,0,10,2,9,100,8e+05
"342",0.2,1e-03,2,139.733333333333,1.53333333333333,10,2,9,100,8e+05
"343",0.4,1e-03,2,131,2.16666666666667,10,2,9,100,8e+05
"344",0.6,1e-03,2,106.7,7.56666666666667,10,2,9,100,8e+05
"345",0.1,1e-03,1,138.433333333333,0,10,2,9,100,8e+05
"346",0.2,1e-03,1,147.066666666667,0,10,2,9,100,8e+05
"347",0.4,1e-03,2,109.766666666667,10.7,10,2,9,100,8e+05
"348",0.6,1e-03,2,101.466666666667,11.6333333333333,10,2,9,100,8e+05
"349",0.1,1e-03,1,140.8,0,10,2,9,100,8e+05
"350",0.2,1e-03,1,146.9,0,10,2,9,100,8e+05
"351",0.4,1e-03,2,132.366666666667,2.73333333333333,10,2,9,100,8e+05
"352",0.6,1e-03,2,61.5,20.9333333333333,10,2,9,100,8e+05
"353",0.1,1e-03,1,139.633333333333,0,10,2,9,100,8e+05
"354",0.2,1e-03,1,146.3,0,10,2,9,100,8e+05
"355",0.4,1e-03,2,115.833333333333,6.8,10,2,9,100,8e+05
"356",0.6,1e-03,2,123.3,3.33333333333333,10,2,9,100,8e+05
"357",0.1,1e-03,1,148.233333333333,0,10,2,9,100,8e+05
"358",0.2,1e-03,2,135.1,1.7,10,2,9,100,8e+05
"359",0.4,1e-03,2,126.9,3.76666666666667,10,2,9,100,8e+05
"360",0.6,1e-03,2,77.3,16.8333333333333,10,2,9,100,8e+05
"361",0.1,1e-03,1,152.4,0,10,2,9,100,8e+05
"362",0.2,1e-03,1,141.1,0,10,2,9,100,8e+05
"363",0.4,1e-03,2,100.533333333333,8.33333333333333,10,2,9,100,8e+05
