"","transmission","dispersal","nExtantDis","singleInf","doubleInf","nColonies","nPathogens","meanK","maxDistance","nEvents","path2","extinctionTime","totalTime","survivalTime"
"241",0.1,0,1,61,0,2,2,1,120,8e+05,131,NA,1304.30218614184,NA
"242",0.2,0,1,101.833333333333,0,2,2,1,120,8e+05,205,NA,1297.03655884351,NA
"243",0.3,0,1,65.3333333333333,0,2,2,1,120,8e+05,120,NA,1603.57392028526,NA
"244",0.4,0,2,23.6666666666667,9.66666666666667,2,2,1,120,8e+05,46,NA,1239.38928305939,NA
"245",0.1,0,1,70,0,2,2,1,120,8e+05,146,NA,1388.74701886841,NA
"246",0.2,0,1,70.8333333333333,0,2,2,1,120,8e+05,133,NA,1437.10614872465,NA
"247",0.3,0,1,77.6666666666667,0,2,2,1,120,8e+05,0,729.019606895704,1313.08554787323,246.911737467323
"248",0.4,0,2,23.8333333333333,15.6666666666667,2,2,1,120,8e+05,54,NA,1058.94460972329,NA
"249",0.1,0,1,75.3333333333333,0,2,2,1,120,8e+05,156,NA,1320.68802700351,NA
"250",0.2,0,1,73.3333333333333,0,2,2,1,120,8e+05,143,NA,1309.8141227816,NA
"251",0.3,0,1,70.1666666666667,0,2,2,1,120,8e+05,146,NA,1398.03995341626,NA
"252",0.4,0,2,24.5,6.33333333333333,2,2,1,120,8e+05,43,NA,1512.89402265129,NA
"253",0.1,0,1,61.3333333333333,0,2,2,1,120,8e+05,115,NA,1375.05409640439,NA
"254",0.2,0,1,57.5,0,2,2,1,120,8e+05,0,902.503686550942,1290.16730460741,426.69578144964
"255",0.3,0,2,33,12.5,2,2,1,120,8e+05,59,NA,1082.28499549056,NA
"256",0.4,0,2,26.3333333333333,14,2,2,1,120,8e+05,53,NA,1158.14532628941,NA
"257",0.1,0,1,69.6666666666667,0,2,2,1,120,8e+05,132,NA,1411.31447381641,NA
"258",0.2,0,1,60.3333333333333,0,2,2,1,120,8e+05,139,NA,1248.77767856964,NA
"259",0.3,0,2,33.6666666666667,13,2,2,1,120,8e+05,84,NA,1229.8699529887,NA
"260",0.4,0,1,37.8333333333333,0,2,2,1,120,8e+05,0,1419.67155101107,1484.9472224475,889.587765840804
"261",0.1,0,1,57.5,0,2,2,1,120,8e+05,115,NA,1880.69671422189,NA
"262",0.2,0,1,54.8333333333333,0,2,2,1,120,8e+05,0,733.750957573483,1482.41605502046,225.388999188393
"263",0.3,0,1,45.5,0,2,2,1,120,8e+05,100,NA,1572.4169829998,NA
"264",0.4,0,2,29.3333333333333,15.8333333333333,2,2,1,120,8e+05,59,NA,1079.04618841386,NA
"265",0.1,0,1,74.5,0,2,2,1,120,8e+05,161,NA,1302.02119276623,NA
"266",0.2,0,1,55.8333333333333,0,2,2,1,120,8e+05,113,NA,1527.25364182144,NA
"267",0.3,0,2,34.1666666666667,13.5,2,2,1,120,8e+05,59,NA,1266.42864824218,NA
"268",0.4,0,2,23.6666666666667,11.1666666666667,2,2,1,120,8e+05,49,NA,1314.09839740189,NA
"269",0.1,0,1,63,0,2,2,1,120,8e+05,134,NA,1396.01639818029,NA
