"","transmission","dispersal","nExtantDis","singleInf","doubleInf","nColonies","nPathogens","meanK","maxDistance","nEvents"
"549",0.1,0.01,1,142.533333333333,0,10,2,2,40,8e+05
"550",0.2,0.01,1,139.733333333333,0,10,2,2,40,8e+05
"551",0.4,0.01,2,52.5333333333333,24.3,10,2,2,40,8e+05
"552",0.6,0.01,2,37.5333333333333,24.4666666666667,10,2,2,40,8e+05
"553",0.1,0.01,1,147.433333333333,0,10,2,2,40,8e+05
"554",0.2,0.01,2,130.6,3.1,10,2,2,40,8e+05
"555",0.4,0.01,2,54.8,24.1666666666667,10,2,2,40,8e+05
"556",0.6,0.01,2,41.4666666666667,27,10,2,2,40,8e+05
"557",0.1,0.01,1,141.733333333333,0,10,2,2,40,8e+05
"558",0.2,0.01,1,151.433333333333,0,10,2,2,40,8e+05
