"model","percentageerror","wait"
"SW1",-1.7875621539,"0.5"
"SW1",-3.3032654845,"0.5"
"SW1",-0.3746183711,"0.5"
"SW1",-1.0425554321,"0.5"
"SW1",-1.8646318148,"0.5"
"SW1",1.5264332639,"0.5"
"SW1",3.0421365945,"0.5"
"SW1",2.091610777,"0.5"
"SW1",-0.0406498406,"0.5"
"SW1",1.9888512292,"0.5"
"SW1",1.0897051856,"0.5"
"SW1",-2.9179171801,"0.5"
"SW1",0.3446984638,"0.5"
"SW1",1.9374714552,"0.5"
"SW1",0.0877995942,"0.5"
"SW1",-2.6867081975,"0.5"
"SW1",1.1410849595,"0.5"
"SW1",-0.2461689363,"0.5"
"SW1",-1.2223846408,"0.5"
"SW1",0.190559142,"0.5"
"SW1",-1.5820430582,"0.5"
"SW1",0.832806316,"0.5"
"SW1",-2.1986003452,"0.5"
"SW1",0.807116429,"0.5"
"SW1",5.5854354035,"0.5"
"SW1",0.5245276725,"0.5"
"SW1",0.3446984638,"0.5"
"SW1",-1.4022138495,"0.5"
"SW1",-1.093935206,"0.5"
"SW1",1.6548826987,"0.5"
"SW1",-2.1729104583,"0.5"
"SW1",1.3209141682,"0.5"
"SW1",-1.3251441886,"0.5"
"SW1",1.3466040552,"0.5"
"SW1",-1.4022138495,"0.5"
"SW1",-2.3784295539,"0.5"
"SW1",0.807116429,"0.5"
"SW1",-0.5544475798,"0.5"
"SW1",0.2419389159,"0.5"
"SW1",-2.3013598931,"0.5"
"SW1",2.9393770467,"0.5"
"SW1",-1.3765239625,"0.5"
"SW1",-1.0168655451,"0.5"
"SW1",-0.6572071277,"0.5"
"SW1",0.6272872203,"0.5"
"SW1",0.6272872203,"0.5"
"SW1",0.7557366551,"0.5"
"SW1",1.1153950725,"0.5"
"SW1",0.3190085768,"0.5"
"SW1",0.5245276725,"0.5"
"SW1",-0.3746183711,"0.5"
"SW1",1.6548826987,"0.5"
"SW1",0.6272872203,"0.5"
"SW1",-2.2499801191,"0.5"
"SW1",1.0897051856,"0.5"
"SW1",-0.3489284841,"0.5"
"SW1",-1.1196250929,"0.5"
"SW1",2.4769590814,"0.5"
"SW1",3.6843837685,"0.5"
"SW1",2.2971298727,"0.5"
"SW1",0.7043568812,"0.5"
"SW1",1.5264332639,"0.5"
"SW1",-1.0168655451,"0.5"
"SW1",0.0107299333,"0.5"
"SW1",0.3446984638,"0.5"
"SW1",-0.6572071277,"0.5"
"SW1",-0.6315172407,"0.5"
"SW1",0.7300467682,"0.5"
"SW1",-0.3489284841,"0.5"
"SW1",1.9374714552,"0.5"
"SW1",0.3703883507,"0.5"
"SW1",0.2419389159,"0.5"
"SW1",-1.9930812496,"0.5"
"SW1",-0.6572071277,"0.5"
"SW1",2.2714399857,"0.5"
"SW1",-1.0168655451,"0.5"
"SW1",-2.0958407974,"0.5"
"SW1",2.091610777,"0.5"
"SW1",-1.1453149799,"0.5"
"SW1",-0.1177195015,"0.5"
