"transmission","dispersal","singleInf","doubleInf","nExtantDis","nColonies","maxDistance","meanK","nPathogens","nEvents","file"
2,0.001,29.0090909090909,30.7909090909091,2,10,100,8.8,2,5e+05,"150527_292.RData"
5,0.001,7.8,33.9909090909091,2,10,100,8.2,2,5e+05,"150527_293.RData"
10,0.001,3.98181818181818,35.4818181818182,2,10,100,8.6,2,5e+05,"150527_294.RData"
2,0.001,41.4090909090909,27.2181818181818,2,10,100,8.8,2,5e+05,"150527_295.RData"
5,0.001,7.05454545454545,36.8454545454545,2,10,100,9,2,5e+05,"150527_296.RData"
10,0.001,19.7,32.0272727272727,2,10,100,9,2,5e+05,"150527_297.RData"
2,0.001,17.6909090909091,33.2,2,10,100,9,2,5e+05,"150527_298.RData"
5,0.001,20.7545454545455,33.2272727272727,2,10,100,8.6,2,5e+05,"150527_299.RData"
5,0.001,47.0090909090909,27.6181818181818,2,10,100,8.8,2,5e+05,"150527_29.RData"
5,0.001,7.3,35.0909090909091,2,10,100,9,2,5e+05,"150527_2.RData"
10,0.001,28.3363636363636,31.9181818181818,2,10,100,8.6,2,5e+05,"150527_300.RData"
2,0.001,28.7454545454545,28.3,2,10,100,7.8,2,5e+05,"150527_301.RData"
5,0.001,7.68181818181818,33.4272727272727,2,10,100,9,2,5e+05,"150527_302.RData"
10,0.001,3.90909090909091,36.9909090909091,2,10,100,9,2,5e+05,"150527_303.RData"
2,0.001,16.4363636363636,33.1818181818182,2,10,100,8.6,2,5e+05,"150527_304.RData"
5,0.001,6.93636363636364,34.3090909090909,2,10,100,9,2,5e+05,"150527_305.RData"
10,0.001,3.91818181818182,35.2363636363636,2,10,100,9,2,5e+05,"150527_306.RData"
2,0.001,17.0545454545455,32.5363636363636,2,10,100,9,2,5e+05,"150527_307.RData"
5,0.001,8.01818181818182,34.7727272727273,2,10,100,9,2,5e+05,"150527_308.RData"
10,0.001,4.12727272727273,34.2727272727273,2,10,100,8,2,5e+05,"150527_309.RData"
10,0.001,3.95454545454545,35.3909090909091,2,10,100,9,2,5e+05,"150527_30.RData"
2,0.001,29.7636363636364,31.5727272727273,2,10,100,9,2,5e+05,"150527_310.RData"
5,0.001,7.65454545454545,35.2181818181818,2,10,100,9,2,5e+05,"150527_311.RData"
10,0.001,4.13636363636364,37.1545454545455,2,10,100,9,2,5e+05,"150527_312.RData"
2,0.001,16.5363636363636,30.8545454545455,2,10,100,8.6,2,5e+05,"150527_313.RData"
5,0.001,7.26363636363636,37.5454545454545,2,10,100,9,2,5e+05,"150527_314.RData"
10,0.001,19.3636363636364,28.7636363636364,2,10,100,8.6,2,5e+05,"150527_315.RData"
2,0.001,16.5909090909091,32.5363636363636,2,10,100,8.8,2,5e+05,"150527_316.RData"
5,0.001,7.73636363636364,34.2818181818182,2,10,100,8.6,2,5e+05,"150527_317.RData"
10,0.001,4.03636363636364,35.1090909090909,2,10,100,9,2,5e+05,"150527_318.RData"
2,0.001,16.8636363636364,32.1909090909091,2,10,100,8.8,2,5e+05,"150527_319.RData"
2,0.001,16.9818181818182,31.2636363636364,2,10,100,9,2,5e+05,"150527_31.RData"
5,0.001,7.75454545454545,39.5363636363636,2,10,100,8.8,2,5e+05,"150527_320.RData"
10,0.001,17.1818181818182,33.1727272727273,2,10,100,9,2,5e+05,"150527_321.RData"
2,0.001,16.1181818181818,35.8181818181818,2,10,100,8.4,2,5e+05,"150527_322.RData"
